n_anneal,min,mean
16,1.2953739425558553e-06,0.28456152781788635
32,3.420372343132527e-07,0.20553761742796584
64,2.1240810061939897e-06,0.14726909109299235
128,1.3046353974921487e-06,0.1130064278695917
256,1.0202934337399938e-06,0.07348212845903768
512,4.117376926071614e-07,0.05092940095041554
1024,2.160441674448066e-07,0.03908198168674204
2048,1.2128190163274155e-07,0.032587261240962784
