iteration,Temperature,DeltaT,minE,maxE,meanE,varE,ESS
0,2.0,-0.2341187863264559,0.5791497255247209,6.366789820281801,2.4753592039030172,1.2147364616394043,124.98739624023438
1,1.765881213673544,-0.0801162063349384,0.3684856916349508,6.328488829223452,2.460271599380312,1.374140977859497,124.25890350341795
2,1.6857650073386057,-0.0721910280978965,0.4912285829465963,7.084741118041811,2.3365672851484396,1.4475308656692505,122.58541107177734
3,1.6135739792407089,-0.0525905634897751,0.7305693651121237,6.981742861358462,2.5884275461118795,1.5928442478179932,123.8942642211914
4,1.5609834157509337,-0.0555585353498668,0.5228824640195944,6.645198586074648,2.325085165588198,1.5202893018722534,124.27841186523438
5,1.5054248804010668,-0.056364280809822,0.5484428430479147,8.14002108821088,2.3953207755964376,1.4765340089797974,123.75160217285156
6,1.449060599591245,-0.0747880892553218,0.39020061740094203,5.26687824973279,2.397797110168276,1.211801290512085,122.72225952148438
7,1.374272510335923,-0.0885176553823074,0.6343445802610495,5.285440089790163,2.454269173232851,1.0497711896896362,123.51937866210938
8,1.2857548549536155,-0.0476987159616945,0.2814464593809225,6.376737597076235,2.0579253459852316,0.9464438557624816,121.59725189208984
9,1.238056138991921,-0.0962550006781145,0.2967820192258932,5.540698411552248,2.385465624419985,1.0323790311813354,122.84390258789062
10,1.1418011383138065,-0.0188384775458454,0.3592057252805807,6.169476273147402,2.198600175468264,1.0931446552276611,119.26387786865234
11,1.122962660767961,-0.0236740929618716,0.21208381900006357,6.504685881225405,2.2003841424863912,1.1897265911102295,119.3877944946289
12,1.0992885678060893,-0.0297659457629471,0.2890739465635397,6.152626278487977,1.9777454162519552,1.1138324737548828,118.32444763183594
13,1.0695226220431422,-0.0302020367586522,0.25445699938946786,6.61613202342206,2.077505829421816,1.2382314205169678,119.02696228027344
14,1.03932058528449,-0.0207764576740842,0.3420846486967184,4.324560406295595,2.0358951116483786,0.8522616624832153,118.79773712158205
15,1.0185441276104057,-0.0219859522824053,0.5346145654600241,4.695333960143862,1.9465448881071186,0.7610544562339783,119.79721069335938
16,0.9965581753280004,-0.0247300583502883,0.27464747676068324,5.994806292144594,2.274365189163027,1.0456947088241575,120.33242797851562
17,0.971828116977712,-0.0249597763626289,0.1913058782499406,6.022066118804751,2.0524168039243795,1.1236324310302734,119.96788024902344
18,0.9468683406150832,-0.0232906105008233,0.37253523120099086,5.111816051093874,2.0903785253446676,0.8481298089027405,120.27853393554688
19,0.92357773011426,-0.0188278956163276,0.31760335215741176,5.266731026260195,2.053323748199282,1.0062787532806396,117.8446273803711
20,0.9047498344979322,-0.0148710752828797,0.18204140910321254,4.667338373748598,1.9958289886396507,0.8892347812652588,118.89138793945312
21,0.8898787592150524,-0.0216964279262107,0.10896659144574183,5.124601008979616,1.8232600713651759,0.8161785006523132,117.86028289794922
22,0.8681823312888417,-0.0179858200277865,0.25948143252545375,5.773267510024843,1.937055709449587,1.2156609296798706,117.83604431152344
23,0.8501965112610552,-0.0121396720996715,0.2920808816831686,4.925156476585207,1.9956504131239035,0.9334835410118104,117.05101013183594
24,0.8380568391613837,-0.0184225423269163,0.14273548373394984,5.612523677436648,1.8850817705076315,0.8716549277305603,118.30110168457033
25,0.8196342968344674,-0.0111301657568323,0.15225649127179164,5.778984787551699,1.8331873441618063,0.9023269414901732,118.33062744140624
26,0.8085041310776351,-0.022184196042028,0.27074146517926234,4.477619888870058,1.7609038377683737,0.693396806716919,119.42955017089844
27,0.7863199350356069,-0.0423391123099239,0.32698774584942836,5.056030514327822,1.6867098833006002,0.7950795292854309,117.67506408691406
28,0.7439808227256829,-0.0116709451448087,0.3442173028867819,4.2406826640050985,1.8500063444059471,0.7464487552642822,116.97540283203124
29,0.7323098775808742,-0.009708030956373,0.33985114344769496,6.012961628524599,1.6395967031400778,0.9238841533660888,115.9845962524414
30,0.7226018466245011,-0.0165463147083669,0.23520446070843715,5.365714194862185,1.700460913268862,0.7020875215530396,114.14573669433594
31,0.7060555319161341,-0.0147246920889598,0.4014110589902975,4.722534420577822,1.697432282058535,0.590651273727417,115.03279876708984
32,0.6913308398271744,-0.0127487425292821,0.21911168345623988,5.29317653426343,1.7090294385831926,0.6860818862915039,117.62432861328124
33,0.6785820972978922,-0.0093821696129037,0.21488094577008265,5.481367352096377,1.571167233077822,0.7595081329345703,115.68286895751952
34,0.6691999276849884,-0.0090171624922707,0.20963049182110804,3.9369380498808004,1.6292049909513566,0.6282961964607239,113.70639038085938
35,0.6601827651927177,-0.0109824834175176,0.2170541311185934,3.786448987809954,1.6324996972959616,0.5568598508834839,112.39688873291016
36,0.6492002817752001,-0.0137018895833788,0.30998516329937953,3.8578833664339163,1.6651234651487445,0.6772429347038269,117.84504699707033
37,0.6354983921918212,-0.0070919455005678,0.44988894709759686,3.9343229258936026,1.5925147558134176,0.5910367369651794,115.25106811523438
38,0.6284064466912533,-0.0092930294851491,0.47978782900982875,4.399005832759676,1.6543554092329122,0.5768265128135681,112.06820678710938
39,0.6191134172061041,-0.0133118823986314,0.32896209010296884,3.1926291013639547,1.562732699004946,0.4456427693367004,112.9410171508789
40,0.6058015348074727,-0.0098094289865172,0.21311378726178187,4.141131165115175,1.6025512243192765,0.6552899479866028,116.34335327148438
41,0.5959921058209554,-0.0082114499523574,0.34613394984417933,4.243360760299502,1.5833966756742575,0.6094854474067688,105.79248809814452
42,0.587780655868598,-0.0119719077550194,0.3315732503812887,3.9426396811884024,1.4909906412046525,0.4688163101673126,113.37683868408205
43,0.5758087481135784,-0.010009360231966,0.21537924060040448,3.6377882479261734,1.5291020894926168,0.562798261642456,111.67808532714844
44,0.5657993878816123,-0.0042983829638507,0.45197153338604945,3.566688838092623,1.6593220258634662,0.578266441822052,107.40769958496094
45,0.5615010049177616,-0.009279048624523,0.3273952032011125,3.8783435548227407,1.4698894048612692,0.4659636914730072,112.7300796508789
46,0.5522219562932384,-0.0050545214644538,0.39873075732403773,6.0553112054746725,1.523952009765444,0.7504878640174866,110.3287582397461
47,0.5471674348287846,-0.0064960511788916,0.3041183973234274,3.9046929503362753,1.4899120355527975,0.4391815364360809,111.55651092529295
48,0.540671383649893,-0.006613976136143,0.3311791444700338,4.326795282451449,1.457503321258364,0.4884777665138244,110.22819519042967
49,0.53405740751375,-0.006195831888739,0.18859124430829066,4.108419957248507,1.4338588739317037,0.4837806820869446,111.44676208496094
50,0.5278615756250109,-0.0081955373351918,0.37195110568219203,3.1755012596529104,1.433584930984316,0.4554944038391113,112.49333190917967
51,0.519666038289819,-0.0056164499521658,0.2770967508237936,3.9698856497686483,1.4605331445615866,0.5175167918205261,113.41431427001952
52,0.5140495883376532,-0.005263110678066,0.3591403985899069,4.581913354484377,1.4673240209501364,0.6045899391174316,110.93626403808594
53,0.5087864776595872,-0.0050548805959525,0.2371058488767721,4.910538318244753,1.458435299484072,0.5057507753372192,109.82144165039062
54,0.5037315970636347,-0.0051658092823907,0.2001495386045553,4.933320882407961,1.3592979932706926,0.5620618462562561,113.459228515625
55,0.498565787781244,-0.0085270217556668,0.32353878268414515,3.7714449042957403,1.4004366422575094,0.4904476106166839,108.71556854248048
56,0.4900387660255771,-0.0061446822840323,0.26637840518170375,3.094616177169619,1.3726260686796286,0.3588930368423462,107.8745574951172
57,0.4838940837415448,-0.0037845839767934,0.17703938731366176,4.902986528961001,1.3962967420499899,0.5961703062057495,107.31747436523438
