iteration,temperature,minE,maxE,meanE,VarE
1,2.0,0.6707225810541049,8.427510802321859,2.8698275448934623,1.8681038530696887
2,1.9998,0.6519311602821944,9.78430695201,2.925984653274484,2.5750338908704435
3,1.9996,0.6606659353221023,7.046513538273596,2.6330333884670747,1.378151849715671
4,1.9994,0.6179092887702851,12.155380720512161,2.683245102040963,2.9836473842875453
5,1.9992,0.5229941382082144,7.612355638176391,2.961666285737686,1.7844938983965148
6,1.999,0.5342869153510872,7.3374468411645575,2.5722268295432142,2.275449782824978
7,1.9988,0.7445996780412929,10.075507380185268,2.9456034315931143,2.019289116033569
8,1.9986,0.23997268986624665,8.76255520136327,2.5366608597365747,1.8566508171059275
9,1.9984,0.49722734128582147,7.42267662115701,3.0743009897201126,2.113785308720177
10,1.9982,0.5750417725904016,11.564445271829081,2.954604091670033,2.403335232415435
11,1.998,0.7138019246635814,6.878261659747787,2.7507314030935683,1.583741663385679
12,1.9978,0.48568604952098493,5.838708080917981,2.692307757758679,1.3875819185384108
13,1.9976,0.3835314405201995,8.2301954926862,2.9314845645459027,2.028168921129489
14,1.9974,0.7611041365313351,8.49779034714258,2.925067885647408,2.19418909497884
15,1.9972,0.6011770391567146,6.92388852162614,2.82070983223248,2.103951469953412
16,1.997,0.7751878753613064,8.414983752544815,3.1604037836205023,2.5991643457141
17,1.9968,0.4579196226322084,7.380192058414918,3.050603945011452,2.287936106532974
18,1.9966,0.46968861706540954,8.610706827209498,2.8610273961604493,2.3599372658479583
19,1.9964,0.6709194537138075,7.133770644621127,2.7559778420415713,1.6744221915717703
20,1.9962,0.38872647877725797,8.881805503246564,2.8081049734210097,2.0253367552612533
21,1.996,0.46658702812538655,10.463299645740648,2.9198213648049545,1.979249065001111
22,1.9958,1.134572023010568,6.910043804661758,3.002601141668374,1.6852745752421765
23,1.9956,0.2609074276598502,6.7561297850778885,2.7448006137763787,1.7085311733316992
24,1.9954,0.43906801974484155,8.445115061752135,2.828702654421492,2.0692688600891724
25,1.9952,0.5655770310369794,7.460339528146289,2.6215240882616073,1.9296632820088224
26,1.995,0.5164967268504133,5.950967735361411,2.620801290112352,1.5775897240540486
27,1.9948,0.49595622140294093,8.9634010262306,2.680021519714376,1.836927377338348
28,1.9946,0.3321476622496631,7.701072445621999,2.8930248125979228,2.081859462589029
29,1.9944,0.21935043880862715,6.5588274615151345,2.8478658109185373,1.614817715377709
30,1.9942,0.5792226954610586,11.418001505225893,2.830484576664827,2.564368964393717
31,1.994,0.3366839767046752,6.233014750427647,2.9354757577123536,2.0545759423709904
32,1.9938,0.5356004172029056,8.449050838531612,2.7599427109778554,2.235300507206928
33,1.9936,0.6600624577751026,7.172901041200323,2.9066046469375504,2.0585677741052884
34,1.9934,0.4083562869908075,7.603387966636754,2.9485035951708576,2.5299311828121
35,1.9932,0.30350338177751723,10.541241015982418,2.9244637849346278,2.199183744729762
36,1.993,0.5631288166596624,8.687865767672289,3.242075967341987,3.180479051116238
37,1.9928,0.7659657287584185,8.027866886619933,2.9995937949199716,2.366618762398038
38,1.9926,0.37927821151764984,7.0389213634774315,2.660564179507984,1.7368423264769557
39,1.9924,0.41568106057967213,7.845495242581687,2.966087874550688,2.2959126950719897
40,1.9922,0.7044523245138223,6.875206314460377,2.8604410150922854,1.686408046561133
41,1.992,0.6936877596504649,6.596134912336323,3.0016881774985524,1.5612092323662223
42,1.9918,0.5505591591875563,8.746782085441092,2.7299869744667524,1.6320675377655134
43,1.9916,0.7032042551799353,8.411492232600164,2.7921027795501994,2.148483615243649
44,1.9914,0.28852475732670424,7.827913620000086,2.9026510701476758,2.2956755749538376
45,1.9912,0.4195147528332077,7.502935976254933,3.1338770480977347,2.2671491347045367
46,1.991,0.3645588354399063,8.599429282509984,2.9631535813067926,2.6760687026065164
47,1.9908,0.5416747397075343,7.470899106252715,3.018233421862428,2.383908092249354
48,1.9906,0.40342865765427405,9.141431050414969,2.7033052087926954,1.8411073825960675
49,1.9904,0.45385048908182846,9.000179363463356,3.283317274426639,3.114021635219093
50,1.9902,0.5599796657206393,7.8421973340843545,2.7249976042160506,1.8192186763308855
51,1.99,0.5277874893811303,9.579253502395279,3.1044792755249238,3.098866778779674
52,1.9898,0.22750529424019206,8.92696780151271,2.872426189067969,1.7013908890436094
53,1.9896,0.49076262319580843,7.159179276842966,2.71182190933796,1.7312350489638315
