iteration,temperature,minE,maxE,meanE,VarE
1,2.0,0.22661183804174723,6.61067420956152,2.5057678267215437,1.5737697546003606
2,1.9999,0.7575126284813596,7.566809640709026,2.661217422239715,2.1436334614302237
3,1.9998,0.29038571716218886,8.264583102037172,2.7397392969484606,1.9708298251681715
4,1.9997,0.4780157595587995,6.047747530459867,2.5276608514046304,1.2283120341793268
5,1.9996,0.27685823430125645,9.297469128530254,2.5880514161710875,1.709274945926087
6,1.9995,0.5000005200683297,6.21424965824458,2.6344350675191652,1.4685284472298774
7,1.9994,0.32757711408046486,6.681575851272543,2.6227465368770604,1.7063619230705978
8,1.9993,0.5101295981765488,7.139891914854756,2.6993769136445214,1.6772311554593775
9,1.9992,0.6467181001201272,6.454817473447893,2.691803575472516,1.2673852009074746
10,1.9991,0.5413316137235871,7.879440309355108,2.637604070107028,1.730601840389455
11,1.999,0.3542147338278596,7.177110557506529,2.6784069384708387,1.3705649567140177
12,1.9989,0.6278958813698914,6.283249980516018,2.7334466252647953,1.3470578015718804
13,1.9988,0.5276950735792347,5.049544660694757,2.3874150797941676,1.1546495597908175
14,1.9987,0.4739519207459968,6.206512307605859,2.658283213327927,1.7719419092908677
15,1.9986,0.6483182146263928,6.533746624711853,2.4208950009276027,1.409404428497951
16,1.9985,0.19978022132182538,6.869894891352311,2.8325022253851353,1.875370118900176
17,1.9984,0.41023285594180736,6.399380889374459,2.514367802640871,1.6205927487075598
18,1.9983,0.30191989601140445,9.017406699870094,2.7035921911371132,2.2635310708112573
19,1.9982,0.43360486903564155,7.7256853950406175,2.802573495566666,1.7181136129108554
20,1.9981,0.3734626676822739,5.6316176216557645,2.4464597874670555,1.1357482404778716
21,1.998,0.592112727693745,6.178462944230142,2.8385302019588594,1.4932806384046775
22,1.9979,0.7135453643825906,7.194187431767522,2.7122857850427073,1.4937421538655171
23,1.9978,0.2502811454008018,7.011279515717558,2.640508714328818,1.7063920789316045
24,1.9977,0.49967694716157407,7.01166860206961,2.792712741762783,1.7430756496957904
