n_anneal,min,mean
16,-31.42906923036677,-1.212830564525253
32,-30.776350256534407,-1.6323372240638876
64,-31.941252586273688,-4.960777171516997
128,-33.733811083699194,-22.603782862193466
256,-45.60111714765466,-40.60461527223655
512,-63.02055465406241,-63.01159682956686
1024,-69.94142706538815,-69.93994388249
2048,-71.25197137881241,-71.25109546115247
