iteration,temperature,minE,maxE,meanE,VarE
171,1.83,121.41277187887697,140.61298190096625,131.16096222989478,14.746838741639856
172,1.829,121.79801262095879,138.6893655617024,130.682239638461,12.764667939563001
173,1.828,123.08108188751729,143.0079851340899,131.50599246398195,11.49129951590197
174,1.827,121.37046690415531,140.16319792356393,131.2316808490652,15.613220205380642
175,1.826,119.01794453534366,139.6759413548398,131.09994347231077,12.126740861895483
176,1.825,121.10221245596227,139.40597436795767,131.6401688491192,12.895936216610394
177,1.824,122.02901531273037,139.45768994566762,131.36052364019997,12.98831908848245
178,1.823,120.70508956161163,140.60319885447,131.14065407302013,15.07451860739488
179,1.822,122.10989176551227,141.3349513860362,131.11220680146408,14.407679394246562
180,1.821,121.30479258292343,138.23305646731393,130.83759874916424,11.45416269887584
181,1.82,120.26923284822526,145.3162307477444,131.2900522363303,14.428735296394514
182,1.819,118.53763673605772,145.05597425388854,131.427870073042,15.209262318591168
183,1.818,120.2767064217605,142.61716501581148,130.4376814269306,15.449188032116949
184,1.817,123.18682630709161,139.58270502720856,131.549771997327,13.486148494332415
185,1.816,122.13020723469721,140.8666792224106,130.72250524067366,15.658232729021087
186,1.815,123.23477763196247,140.82561171252985,130.97543674251267,13.638991198067613
187,1.814,121.05108791017221,139.6790096303456,131.35865836518073,14.954441140951413
188,1.813,119.1197714826466,140.53511051785281,130.75933231616304,16.511003398910425
189,1.812,119.53217324954045,139.60052573720523,131.22761401972198,13.805780679629063
190,1.811,121.18807391302161,140.38571640171304,130.8204898605182,14.599119412646736
191,1.81,123.51618947293194,138.76670755680317,131.10745363649127,12.289303907496734
192,1.809,118.18304228385361,138.56317660441925,130.36402513764136,14.37973113831271
193,1.808,120.42868821754793,140.69705173684082,130.7565300564465,15.81003775938072
194,1.807,121.34633708607561,139.90657756639155,131.1408331713011,12.56428920944962
195,1.806,122.16939563760994,139.54425686963083,131.09643371280578,12.522389143576245
196,1.805,121.65397657814141,142.07713660344152,130.85914518724354,15.26472439187267
197,1.804,121.92145006777338,139.80263811015314,130.84207778531152,13.987366952350888
198,1.803,122.21906351840316,141.21830103781525,130.55172336265173,15.043727368370732
199,1.802,123.09815457290851,139.48193860530228,131.10084209738008,12.120690049298542
200,1.801,119.77910166335656,139.78801708925096,131.56556533739868,12.605719112301985
201,1.8,119.81997478098756,140.06346360607628,130.86754310358924,13.657598814905189
202,1.799,119.65435867393073,138.44211102341114,131.32771075701632,12.256286934766411
203,1.798,119.28005226387243,140.68381121955508,130.83802624601518,12.40002797452952
204,1.797,121.70076184731283,143.6801896020567,130.99518210347475,13.57029455177141
205,1.796,121.61190816398874,139.3959793668719,130.69202961656472,12.939625410534909
206,1.795,120.86901917876703,141.07115549301682,130.55260697034882,14.35625910516501
207,1.794,120.4344133365308,140.5166249601296,130.43079154041004,14.567055149549995
208,1.793,123.22419501668219,144.00877281362972,130.41179025394075,14.011403993893111
209,1.792,119.96614589938368,141.01386261180127,130.736394363116,14.130812234824905
210,1.791,119.17531026285646,139.48824956820113,130.9601682023167,11.563913614073691
211,1.79,121.54631079014686,139.5197730886496,130.43616801923997,12.594707630340585
212,1.789,123.14486194275078,144.38360748608358,131.65642386710465,14.684816176138774
213,1.788,122.29741832341153,138.5819888257328,131.05576692468225,10.037164464133525
214,1.787,120.16008816270985,142.1363084310771,130.88209726098256,15.12326229428076
215,1.786,120.98652249614395,143.45442610762734,130.97451803000513,14.20038234817057
216,1.785,121.82107496942837,140.6851056135608,131.47373660032488,11.67600443559752
217,1.784,119.58709884970675,141.5040188056865,130.632655606371,14.506512448369042
218,1.783,121.5758575393099,143.89778015048265,131.58634191533315,12.57173131872005
219,1.782,121.94187448430719,140.74672455614385,131.3072694044734,13.2647238406762
220,1.781,119.72462868284595,141.54552603277446,130.93909714453952,16.289444695051458
221,1.78,118.68855467921779,138.0384471631415,130.49106187272253,12.875413773213097
222,1.779,120.82390928634177,140.03687407744104,131.0233890170458,13.608874830978634
223,1.778,121.72774158254603,137.37124682756084,130.49350708636905,13.125812282810868
224,1.777,122.44925988866675,137.3634766634761,130.42523102910954,13.801711363795423
