iteration,Temperature,DeltaT,minE,maxE,meanE,varE,ESS
0,2.0,-0.03157144233548512,122.39207458496094,139.74456787109375,132.563232421875,13.632192611694336,92.65288543701172
1,1.9684285576645149,-0.027919458529744416,124.66844177246094,142.42465209960938,131.81179809570312,11.982963562011719,96.18822479248047
2,1.9405090991347704,-0.04424655935576158,119.58529663085938,142.3329315185547,131.3041229248047,12.890000343322754,100.61711883544922
3,1.896262539779009,-0.025974374524743757,124.28170013427734,141.7549285888672,131.83023071289062,13.552279472351074,92.37481689453125
4,1.8702881652542651,-0.02148768109058031,124.11775970458984,141.7357635498047,132.64158630371094,13.053647994995117,90.60262298583984
5,1.8488004841636847,-0.03361639231905615,121.62455749511719,139.48387145996094,131.78765869140625,13.82095718383789,63.057777404785156
6,1.8151840918446285,-0.02991771869812164,120.35833740234375,140.01223754882812,130.72683715820312,11.707145690917969,92.92442321777344
7,1.7852663731465068,-0.048334976593019476,121.72107696533203,139.8610382080078,130.90219116210938,12.929588317871094,91.09889221191406
8,1.7369313965534874,-0.01332436374937163,117.55037689208984,139.95175170898438,130.49880981445312,14.886940002441406,84.34196472167969
9,1.7236070328041158,-0.024973799178381297,118.8363265991211,138.5358123779297,130.52108764648438,12.06764030456543,87.30052947998047
10,1.6986332336257344,-0.09090485754379343,123.4333724975586,138.1866912841797,130.60800170898438,10.156216621398926,77.9456787109375
11,1.607728376081941,-0.017883956108170895,120.59376525878906,138.16677856445312,130.07659912109375,12.616606712341309,89.39405822753906
12,1.58984441997377,-0.0511010425752232,120.59483337402344,137.73193359375,130.54888916015625,13.976401329040527,81.16301727294922
13,1.5387433773985468,-0.030423423792249653,120.37178802490234,139.0944366455078,129.5194091796875,11.279475212097168,80.94239807128906
14,1.5083199536062972,-0.01165579801957849,119.5702133178711,139.16778564453125,129.38302612304688,12.830096244812012,79.84539794921875
15,1.4966641555867188,-0.017367129895051604,121.53973388671875,140.80416870117188,130.3322296142578,12.895720481872559,75.13750457763672
16,1.4792970256916673,-0.020578218334711573,121.41913604736328,137.97715759277344,130.18984985351562,12.475533485412598,82.52745819091797
17,1.4587188073569557,-0.017607508786677856,119.28282928466797,137.29530334472656,129.68856811523438,14.136232376098633,79.94718170166016
18,1.4411112985702779,-0.016871440043345644,120.20172882080078,138.17431640625,129.5347900390625,12.85906982421875,85.18229675292969
19,1.4242398585269322,-0.007798452504762689,119.22994232177734,140.4419708251953,129.22296142578125,16.085891723632812,64.51629638671875
20,1.4164414060221695,-0.03237756386079831,120.57169342041016,136.48794555664062,129.0481719970703,13.376784324645996,67.51708984375
21,1.3840638421613711,-0.00982308111515148,117.25275421142578,141.6039276123047,129.16151428222656,15.384166717529297,74.59927368164062
22,1.3742407610462197,-0.03939121728090836,120.32479858398438,137.28103637695312,128.965087890625,14.498497009277344,79.21170806884766
23,1.3348495437653114,-0.01305491146622471,118.93733978271484,136.4049835205078,128.8778076171875,11.5519380569458,75.08968353271484
24,1.3217946322990868,-0.01110147720100257,119.9332504272461,139.52200317382812,129.01480102539062,14.400495529174805,76.81684875488281
25,1.3106931550980843,-0.011776220536008863,119.22100830078125,137.5368194580078,128.77761840820312,14.924590110778809,74.6148452758789
26,1.2989169345620755,-0.053886987001384265,120.21001434326172,134.7473907470703,128.48245239257812,9.788369178771973,77.83247375488281
27,1.2450299475606912,-0.010466446058179132,118.97180938720703,140.62416076660156,127.80892944335938,16.432931900024414,51.83395767211914
28,1.234563501502512,-0.013741625330348896,117.10226440429688,139.41940307617188,128.2591094970703,11.600370407104492,69.6657943725586
29,1.2208218761721632,-0.004011155690825569,117.7008056640625,135.4431915283203,127.66171264648438,11.74441146850586,45.0902099609375
30,1.2168107204813376,-0.013007300026902232,117.66109466552734,137.14559936523438,127.59269714355469,13.755681991577148,70.04249572753906
31,1.2038034204544354,-0.006446929941566831,120.17478942871094,137.29917907714844,127.92823791503906,12.486542701721191,61.430843353271484
32,1.1973564905128686,-0.007977289003591794,118.40260314941406,136.0156707763672,128.0232696533203,12.811895370483398,59.3433837890625
33,1.1893792015092768,-0.007143694598444696,115.96198272705078,136.48883056640625,127.53668975830078,15.323567390441895,73.69184112548828
34,1.1822355069108321,-0.009602818885437582,119.69035339355469,135.372314453125,127.2073745727539,12.061100959777832,68.24483489990234
35,1.1726326880253946,-0.044404337666542844,119.0492172241211,134.6993865966797,127.88623046875,9.420597076416016,76.9800796508789
36,1.1282283503588517,-0.006410863688699339,118.7872314453125,137.6263427734375,127.0018081665039,13.28222942352295,60.10786437988281
37,1.1218174866701525,-0.022034566681451453,116.15935516357422,136.08995056152344,126.57363891601562,12.525731086730957,67.89718627929688
38,1.099782919988701,-0.007502533237353605,117.11186981201172,133.7279815673828,126.16244506835938,12.768976211547852,65.04134368896484
39,1.0922803867513475,-0.005170610689589784,116.36078643798828,135.43780517578125,126.59947204589844,15.338838577270508,65.5246810913086
40,1.0871097760617578,-0.006468476243330326,117.24354553222656,139.3909149169922,126.56681823730469,13.93147087097168,61.725948333740234
41,1.0806412998184276,-0.013848937482986143,116.09347534179688,137.06256103515625,127.18148803710938,17.887489318847656,79.08085632324219
42,1.0667923623354414,-0.00611998055339259,117.69735717773438,137.0633544921875,126.42628479003906,13.858922958374023,65.52452087402344
43,1.0606723817820487,-0.005171364667859901,119.00498962402344,137.06692504882812,126.50519561767578,12.896183967590332,69.91014099121094
44,1.0555010171141888,-0.006362967247507699,115.02465057373047,136.06088256835938,126.2197265625,17.048784255981445,55.140045166015625
45,1.0491380498666811,-0.006453692956816899,117.98049926757812,135.19581604003906,125.9002914428711,11.516690254211426,56.830711364746094
46,1.0426843569098643,-0.004060507299070523,116.40560150146484,135.1553497314453,126.5016860961914,12.268317222595215,54.69404220581055
47,1.0386238496107938,-0.00869594232776303,117.46485900878906,134.62771606445312,126.34190368652344,13.684651374816895,61.46687316894531
48,1.0299279072830307,-0.00602816572210765,116.4183349609375,133.6544647216797,125.35952758789062,14.239572525024414,66.14018249511719
49,1.023899741560923,-0.0020786118671634137,115.59811401367188,136.50961303710938,126.22089385986328,11.34457778930664,31.019733428955078
50,1.0218211296937596,-0.023935962870158,118.53549194335938,136.70704650878906,125.46707916259766,12.92507266998291,52.977352142333984
51,0.9978851668236016,-0.012845520480470081,117.58638000488281,132.700439453125,125.3783950805664,9.871204376220703,45.889339447021484
52,0.9850396463431316,-0.005360210420424018,117.75626373291016,135.71597290039062,125.83458709716797,12.060880661010742,46.621036529541016
53,0.9796794359227076,-0.004720916606571968,115.49485778808594,136.72561645507812,125.50076293945312,14.855840682983398,53.55900573730469
54,0.9749585193161356,-0.0038013875953765543,117.22728729248047,135.19325256347656,124.63685607910156,13.218255043029785,31.233943939208984
55,0.9711571317207591,-0.006786121196218145,116.41947174072266,134.1448516845703,124.8761215209961,9.630023956298828,49.80768966674805
56,0.964371010524541,-0.007975351354470177,115.35147094726562,131.79531860351562,124.5409927368164,12.25379753112793,64.46961975097656
57,0.9563956591700709,-0.005286134863118082,115.05767059326172,132.71148681640625,125.17807006835938,14.342087745666504,48.8600959777832
58,0.9511095243069527,-0.0042914984993322,114.42984008789062,134.94619750976562,125.52130126953125,13.033537864685059,57.99178695678711
59,0.9468180258076205,-0.004437497297054784,116.38580322265625,132.89035034179688,125.0208740234375,13.731367111206055,37.60612487792969
60,0.9423805285105658,-0.004521541359692896,113.74230194091797,135.40406799316406,124.99354553222656,17.156978607177734,44.10453796386719
61,0.9378589871508729,-0.003440207733757453,115.10508728027344,133.7755126953125,124.29412841796875,12.440256118774414,37.315330505371094
62,0.9344187794171155,-0.0038032129982875267,115.51972961425781,133.13182067871094,124.45213317871094,13.945687294006348,23.463178634643555
63,0.9306155664188279,-0.0058093292638860235,116.06584930419922,135.0756378173828,124.69453430175781,13.028142929077148,51.897918701171875
64,0.9248062371549419,-0.007275349853733136,115.38520812988281,132.13592529296875,124.01112365722656,11.626664161682129,59.07082748413086
65,0.9175308873012088,-0.0046981563197105326,116.08695983886719,134.9446258544922,124.24989318847656,13.295918464660645,62.82267761230469
