iteration,temperature,minE,maxE,meanE,VarE
1,2.0,120.20860250768234,142.39830547572961,131.90932717133154,13.188938149631674
2,1.998,124.09665452377588,145.03399677003463,131.98320838204134,14.479113326820018
3,1.996,119.52846935509152,139.82891401330477,131.6570589180551,13.457367216678273
4,1.994,123.27905736904421,143.8574142709763,131.52333964594573,15.423885810841933
5,1.992,121.03815184436151,138.58757559878723,132.01506329963735,12.652148327643626
6,1.99,123.37262976413528,138.95861071610483,131.57140190747134,11.236841962241177
7,1.988,123.08856638270476,139.7920711175793,132.21178331594626,14.641401428213927
8,1.986,122.61366559033142,142.15286246909233,131.5453165483728,15.205943781428081
9,1.984,120.48179273916512,140.30735062222638,132.153888490202,14.149901556627213
10,1.982,120.09621229483766,140.3896989463312,131.44601415305124,19.84503843429611
11,1.98,122.67641433217332,139.67738180176917,131.49838746376014,13.059881145533947
12,1.978,123.09167632314552,143.38741306228246,132.0420633317715,12.359185674766097
13,1.976,120.42545846880918,139.95463300606474,132.2688155152154,12.974519166487076
14,1.974,121.46866786229131,141.01833554855943,131.931053299439,12.073183138820877
15,1.972,120.24868446794369,140.71413012992073,131.7021489996696,15.349121010856747
16,1.97,118.87838479916796,142.13332227437823,131.54620194549804,14.038197966947497
17,1.968,122.13956533189406,141.10914714481447,132.02037548440293,15.695718339728534
18,1.966,123.1520815104661,143.40496133593786,132.24565516449957,14.837899997345545
19,1.964,123.30450468272127,141.0266090656012,131.56249312714414,12.94830760471369
20,1.962,121.55579526044184,140.7986841988263,132.00395881070878,15.83159721172584
21,1.96,120.38961757833705,141.13390866679975,131.92485853090795,14.13386030123466
22,1.958,124.03315273390572,143.08116303456188,131.8222913651071,14.113520615837844
23,1.956,121.47267887621419,141.52577509989175,131.69683142654878,16.928931469670214
24,1.954,123.42070311014623,141.4891554171678,131.4704633934046,12.594737425692463
25,1.952,124.41091052703489,147.68330411634463,132.0022795058224,14.043043843339266
26,1.95,122.69171971534584,146.30958424417884,132.0822204891867,13.3459503493332
27,1.948,122.3463525823871,140.78879895386763,132.32499544826877,14.011715180138854
28,1.946,120.96955170682176,140.30839031952905,131.63376352506572,12.58242939957189
29,1.944,122.29008494644755,141.5944328853962,132.07351519635012,14.198805873149192
30,1.942,124.05857644740831,143.00302050170788,131.81053702473565,10.528603540889334
31,1.94,124.91208045230866,143.78175012677372,132.24702524313176,14.548700479054874
32,1.938,122.6599475037362,139.85496883279595,131.8164874396657,12.350675091190473
33,1.936,121.58880542070756,140.19969685757155,131.9766606303707,14.011336303322432
34,1.934,122.86387154942003,141.81875147511764,131.51755431910544,14.76110815519612
35,1.932,121.54544966988685,141.5975083305793,131.9329152807402,14.950319961582649
36,1.93,122.97272685732338,142.03168727900112,131.8259067578622,12.32135134186311
37,1.928,124.06383444240643,141.57690860499298,131.7941041181677,13.218564735692196
38,1.926,121.8206354097821,141.55825835795275,131.75566475279925,13.969890509583932
39,1.924,124.00836003496725,141.3063398685048,131.6210473357699,12.979244827981349
40,1.922,120.30542224572883,142.8186690523538,131.99586727013764,17.972595082405487
41,1.92,122.92538202916286,141.7555305134293,131.8681991841995,11.793284476885987
42,1.918,123.06711137116766,140.8212217786878,132.06732662959547,13.640774135860584
43,1.916,122.56326087675866,141.24905997906794,131.49821311574055,14.582102096231386
44,1.914,122.92019908845108,141.3068708436262,131.49043865057797,12.668740714594973
45,1.912,123.75740043856938,141.5692381649531,131.7131156942546,14.647530672115483
46,1.91,122.25538344229417,139.42764563615395,131.4644769957066,10.660596585153689
47,1.908,120.40763139025285,142.7627309245621,132.21532252931217,16.547550904404098
48,1.906,121.988051600434,140.3699736260791,130.69813151896818,14.366828798288244
49,1.904,121.20545597355097,140.41347483983776,131.70659901417832,14.366756295028605
50,1.902,121.50315994918267,139.55471290790084,131.3977382890438,11.96440768014881
51,1.9,117.41259256721952,139.69553682681857,131.517289070807,12.085826769478926
52,1.898,120.6391357640656,139.9032152983391,131.91762291681835,13.048698663580495
53,1.896,120.41666819737763,138.03120202919746,131.34856642237202,12.54073884683094
