n_anneal,min,mean
16,-71.88301974109444,-71.54232013874469
32,-71.88301974109444,-71.55188169980772
64,-71.88301974109444,-71.56811275306974
128,-71.88301974109444,-71.5696222273561
256,-71.88301974109444,-71.53288705896428
512,-71.88301974109444,-71.5820343025045
1024,-71.88301974109444,-71.62026442795357
2048,-71.88301974109444,-71.75118196660381
