n_anneal,min,mean
16,-67.05064557443495,-63.645306301096646
32,-68.3437310557989,-67.59809971660708
64,-66.17210916776025,-65.79554871392894
128,-68.52916033235205,-68.32959376280283
256,-66.53608223358842,-66.42169543123939
512,-68.28440521510035,-68.22732515405292
1024,-70.0189219894171,-69.99143395593521
2048,-69.62884801961616,-69.62366840432698
