n_anneal,min,mean
16,-32.45064499942251,-0.10420975443654844
32,-32.09692002432967,-1.3939966169518119
64,-31.43293904104156,-3.9909289608987013
128,-33.729340972839395,-2.3570334247804334
256,-33.00010571623589,-31.537855080971898
512,-57.186720035563646,-56.24828550355855
1024,-69.08459092698249,-69.0822190440263
2048,-70.1163747623029,-70.11533409138917
