n_anneal,min,mean
16,115.540977478,122.806440651
32,114.858200073,122.004250228
64,109.234283447,118.919725815
128,102.552650452,111.642960330
256,94.285682678,102.135195633
512,83.457099915,91.181278646
1024,70.850479126,78.975462536
2048,59.549175262,66.902831405
4096,50.351715088,55.903960079
8192,42.475196838,46.097682953
