n_anneal,min,mean
16,53.403350830,59.173437446
32,52.067150116,58.522192041
64,48.754005432,56.159293880
128,42.870426178,51.268505742
256,40.216678619,45.926122526
512,31.029693604,39.597918540
1024,30.169029236,33.928749984
2048,25.400823593,28.367645000
4096,20.721523285,23.644358774
8192,16.916982651,19.557950253
