iteration,Temperature,DeltaT,minE,maxE,meanE,varE,ESS
0,2.0,-0.0008832142659804291,-194.41651916503906,-109.76055145263672,-154.608154296875,327.73492431640625,1.5183411836624146
1,1.9991167857340195,-0.000640821018614382,-204.2053680419922,-107.67778778076172,-163.2108917236328,296.9249267578125,2.4435806274414062
2,1.9984759647154051,-0.001427368938472426,-222.62301635742188,-108.56193542480469,-160.6097412109375,404.2026672363281,3.076920509338379
3,1.9970485957769326,-0.0006131384786125427,-218.22410583496094,-118.89805603027344,-162.08721923828125,335.197998046875,1.1257659196853638
4,1.99643545729832,-0.0015501126292121181,-204.3603057861328,-109.40215301513672,-161.70086669921875,407.57489013671875,5.617654800415039
5,1.994885344669108,-0.0006304859779841327,-208.87245178222656,-106.9408950805664,-164.2582244873047,398.2066345214844,1.0290910005569458
6,1.9942548586911237,-0.0007004165004139843,-210.13623046875,-113.81034851074219,-160.87359619140625,381.5887145996094,4.435064315795898
7,1.9935544421907097,-0.0010544162768834763,-215.32090759277344,-105.62864685058594,-159.16973876953125,378.27264404296875,2.691786527633667
8,1.9925000259138261,-0.00042207852702625764,-209.27720642089844,-104.44229125976562,-160.31927490234375,424.63702392578125,1.0566593408584595
9,1.9920779473867998,-0.00043013028445007973,-206.33306884765625,-102.8863754272461,-159.86767578125,390.942138671875,1.0304224491119385
10,1.9916478171023497,-0.000568633976784765,-201.58685302734375,-99.30583190917969,-161.2525634765625,377.3269348144531,1.0064659118652344
11,1.991079183125565,-0.0005965202048564599,-209.38577270507812,-115.48854064941406,-161.28517150878906,330.5874938964844,2.5419397354125977
12,1.9904826629207084,-0.0009330241522283569,-207.4058074951172,-117.9195327758789,-159.9150390625,328.5973205566406,1.0173680782318115
13,1.9895496387684801,-0.0008803726371003467,-217.1238250732422,-109.4289321899414,-159.20205688476562,350.6610107421875,1.1086705923080444
14,1.9886692661313798,-0.0007717143899368848,-226.52468872070312,-82.34430694580078,-159.46075439453125,393.6132507324219,3.649610757827759
15,1.987897551741443,-0.0006190286007702551,-202.99746704101562,-88.46731567382812,-158.2110137939453,394.12554931640625,1.6568481922149658
16,1.9872785231406727,-0.0007536870400546138,-207.12953186035156,-68.13938903808594,-155.01902770996094,438.1845703125,1.6288343667984009
17,1.986524836100618,-0.0006534251852198844,-196.7291259765625,-102.71234893798828,-156.44195556640625,398.8388671875,1.7733515501022339
18,1.985871410915398,-0.0006024705452833145,-203.3494110107422,-103.65788269042969,-156.21383666992188,385.5760192871094,2.090956211090088
19,1.9852689403701147,-0.0004998290586761238,-201.88421630859375,-79.16839599609375,-157.0446319580078,376.7719421386719,1.8342599868774414
20,1.9847691113114385,-0.0004676539943319137,-201.33688354492188,-108.93827056884766,-158.72354125976562,377.38116455078125,1.0317424535751343
21,1.9843014573171065,-0.0006825738829076277,-205.39222717285156,-105.01483917236328,-159.86795043945312,388.1117858886719,1.0001320838928223
22,1.9836188834341988,-0.0006294591302001296,-200.7852020263672,-113.38697814941406,-156.15931701660156,285.6855773925781,4.335033416748047
23,1.9829894243039987,-0.00043306458588249615,-210.64610290527344,-105.60836029052734,-159.61749267578125,326.1922912597656,1.5372495651245117
24,1.9825563597181162,-0.0010496840069896371,-214.4875030517578,-104.56117248535156,-154.6009521484375,352.11102294921875,1.8416895866394043
25,1.9815066757111266,-0.0012439883833909287,-206.79591369628906,-93.13060760498047,-156.88717651367188,403.2382507324219,4.10614013671875
26,1.9802626873277356,-0.0005757805709200666,-209.66217041015625,-102.31939697265625,-159.4691619873047,411.2523498535156,1.366877555847168
27,1.9796869067568155,-0.0004123941479830068,-205.4417724609375,-92.68451690673828,-155.00205993652344,414.5205383300781,1.2226530313491821
28,1.9792745126088325,-0.000977050937242645,-201.99195861816406,-103.21894836425781,-157.26075744628906,399.82025146484375,2.507079839706421
29,1.9782974616715898,-0.000543594880850852,-198.21884155273438,-104.90167999267578,-152.93524169921875,426.49945068359375,3.335146188735962
30,1.977753866790739,-0.00048347903597951547,-205.19947814941406,-98.48772430419922,-159.1044921875,315.409912109375,1.46713387966156
31,1.9772703877547595,-0.000669560978835489,-200.74786376953125,-97.79267120361328,-155.81837463378906,504.809814453125,2.1530327796936035
32,1.976600826775924,-0.0008559956401891437,-198.3927764892578,-93.538330078125,-153.6173095703125,446.889404296875,3.1716864109039307
33,1.9757448311357348,-0.003903841650082425,-195.1413116455078,-83.33499908447266,-152.75173950195312,463.5137023925781,1.3449586629867554
34,1.9718409894856523,-0.0006274324570286811,-195.80752563476562,-113.03268432617188,-153.47793579101562,315.8448791503906,1.622036337852478
35,1.9712135570286236,-0.0005676745703732892,-196.70364379882812,-79.79087829589844,-153.93133544921875,406.9881591796875,3.197488784790039
36,1.9706458824582502,-0.0008459799835701858,-201.36907958984375,-103.60879516601562,-154.4912109375,411.3039245605469,1.8832602500915527
37,1.96979990247468,-0.00045084556477509557,-207.89776611328125,-105.15465545654297,-153.90533447265625,432.5331726074219,3.033958673477173
38,1.9693490569099048,-0.00038113772262672016,-202.98886108398438,-92.83785247802734,-151.15020751953125,401.937255859375,1.1342843770980835
39,1.968967919187278,-0.00041047836977635107,-202.33856201171875,-84.7585678100586,-154.61302185058594,439.29241943359375,1.0355902910232544
40,1.9685574408175017,-0.0005897347302722349,-200.72679138183594,-93.26673889160156,-155.66928100585938,380.1256408691406,1.008581519126892
