n_anneal,min,mean
16,-37.79863320218305,-4.984863502651319
32,-34.56182465390337,-4.342381351476289
64,-39.870792934666184,-8.2881625140124
128,-38.122421227008104,-7.461712274535674
256,-36.167891248815195,-10.1721501679347
512,-46.627943105620524,-24.09311121500569
1024,-58.76038760660686,-36.07261696508525
2048,-61.93901125679177,-42.48783835329911
