n_anneal,min,mean
16,-71.91293888651269,-71.87162730130471
32,-71.91293888651269,-71.89820811470504
64,-71.91293888651269,-71.90441486594722
128,-71.91293888651269,-71.90849630900613
256,-71.91293888651269,-71.91026703153524
512,-71.91293888651269,-71.90407947450718
1024,-71.91293888651269,-71.9119229843513
2048,-71.91293888651269,-71.9120303636198
