iteration,Temperature,DeltaT,minE,maxE,meanE,varE,ESS
0,2.0,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
1,1.999,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
2,1.9980000000000002,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
3,1.9970000000000003,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
4,1.9960000000000004,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
5,1.9950000000000006,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
6,1.9940000000000007,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
7,1.9930000000000008,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
8,1.9920000000000009,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
9,1.991000000000001,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
10,1.990000000000001,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
11,1.9890000000000012,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
12,1.9880000000000013,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
13,1.9870000000000014,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
14,1.9860000000000015,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
15,1.9850000000000017,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
16,1.9840000000000018,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
17,1.9830000000000019,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
18,1.982000000000002,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
19,1.981000000000002,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
20,1.9800000000000022,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
21,1.9790000000000023,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
22,1.9780000000000024,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
23,1.9770000000000025,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
24,1.9760000000000026,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
25,1.9750000000000028,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
26,1.9740000000000029,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
27,1.973000000000003,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
28,1.972000000000003,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
29,1.9710000000000032,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
30,1.9700000000000033,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
31,1.9690000000000034,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
32,1.9680000000000035,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
33,1.9670000000000036,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
34,1.9660000000000037,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
35,1.9650000000000039,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
36,1.964000000000004,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
37,1.963000000000004,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
38,1.9620000000000042,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
39,1.9610000000000043,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
40,1.9600000000000044,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
41,1.9590000000000045,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
42,1.9580000000000046,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
43,1.9570000000000047,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
44,1.9560000000000048,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
45,1.955000000000005,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
46,1.954000000000005,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
47,1.9530000000000052,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
48,1.9520000000000053,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
49,1.9510000000000054,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
50,1.9500000000000055,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
51,1.9490000000000056,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
52,1.9480000000000057,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
53,1.9470000000000058,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
54,1.946000000000006,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
55,1.945000000000006,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
56,1.9440000000000062,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
57,1.9430000000000063,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
58,1.9420000000000064,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
59,1.9410000000000065,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
60,1.9400000000000066,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
61,1.9390000000000067,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
62,1.9380000000000068,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
63,1.937000000000007,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
64,1.936000000000007,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
65,1.9350000000000072,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
66,1.9340000000000073,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
67,1.9330000000000074,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
68,1.9320000000000075,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
69,1.9310000000000076,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
70,1.9300000000000077,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
71,1.9290000000000078,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
72,1.928000000000008,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
73,1.927000000000008,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
74,1.9260000000000081,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
75,1.9250000000000083,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
76,1.9240000000000084,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
77,1.9230000000000085,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
78,1.9220000000000086,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
79,1.9210000000000087,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
80,1.9200000000000088,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
81,1.919000000000009,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
82,1.918000000000009,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
83,1.9170000000000091,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
84,1.9160000000000093,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
85,1.9150000000000094,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
86,1.9140000000000095,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
87,1.9130000000000096,-0.001,-8603.6328125,-8603.6328125,-8603.6328125,0.0,128.0
