n_anneal,min,mean
16,6.860498857896857e-07,0.5515975773176999
32,1.3911937744359726e-05,0.4684426213544242
64,3.6302525052711587e-07,0.3637923496986868
128,1.2545768934835166e-07,0.25517265187742977
256,2.618153167599502e-07,0.1534753974157943
512,6.543241071188532e-07,0.09131469206579357
1024,1.2453274855772634e-08,0.05322323761088177
2048,1.9512472948512993e-07,0.034922419826971196
