ng31303
==== Sun 28 Sep 2025 03:42:39 AM EDT | job 50266184 | node ng31303 ====
model= instance= sa_anneal=
SLURM_JOB_GPUS=1
CUDA_VISIBLE_DEVICES=0
0, GPU-1a287f03-a0ae-a34e-0169-62ebbbd530c8, NVIDIA A100-SXM4-40GB
=== KL-controlled VCA (IG-2) start ===
[cfg] T0=2  T_min=0.001  delta_kl=1.000e-02  mode=fo+so  inner_steps=10  w_clip=1000000.0  B_est=128  B_train=128
[0000] T=2 -> 1.9724  ΔT=-2.761e-02  (FO=-2.761e-02, SO=-3.370e-01) | E_p: mean=35.1798 min=30.3467 max=39.188 | E_π̂=33.7308  ΔÊ=1.449  Var_π̂=2.81844  ζ̂=0.176152 | ESS=32.4 (25.3%)  S≈204.518 -> 204.975 | F(λ;T): -373.856 -> F(λ;T_next): -369.519 | grad_norm≈3.25
[0001] T=1.9724 -> 1.9502  ΔT=-2.217e-02  (FO=-2.217e-02, SO=-3.155e-01) | E_p: mean=34.8624 min=30.0548 max=39.1864 | E_π̂=33.1079  ΔÊ=1.75448  Var_π̂=3.0417  ζ̂=0.200975 | ESS=43.2 (33.8%)  S≈204.982 -> 205.078 | F(λ;T): -369.443 -> F(λ;T_next): -364.832 | grad_norm≈3.98
[0002] T=1.9502 -> 1.9317  ΔT=-1.851e-02  (FO=-1.851e-02, SO=-2.409e-01) | E_p: mean=34.663 min=27.5504 max=38.9603 | E_π̂=32.6084  ΔÊ=2.05462  Var_π̂=4.98542  ζ̂=0.34464 | ESS=36.9 (28.8%)  S≈205.048 -> 205.083 | F(λ;T): -365.225 -> F(λ;T_next): -361.457 | grad_norm≈3.38
[0003] T=1.9317 -> 1.9117  ΔT=-2.004e-02  (FO=-2.004e-02, SO=-2.622e-01) | E_p: mean=34.688 min=29.0188 max=42.2041 | E_π̂=32.826  ΔÊ=1.86198  Var_π̂=4.05116  ζ̂=0.290945 | ESS=42.2 (33.0%)  S≈205.118 -> 205.124 | F(λ;T): -361.541 -> F(λ;T_next): -357.279 | grad_norm≈3.58
[0004] T=1.9117 -> 1.8872  ΔT=-2.448e-02  (FO=-2.448e-02, SO=-3.189e-01) | E_p: mean=34.8322 min=30.704 max=39.738 | E_π̂=33.3396  ΔÊ=1.49261  Var_π̂=2.62609  ζ̂=0.196634 | ESS=62.3 (48.7%)  S≈205.121 -> 205.133 | F(λ;T): -357.291 -> F(λ;T_next): -352.282 | grad_norm≈4.43
[0005] T=1.8872 -> 1.8587  ΔT=-2.848e-02  (FO=-2.848e-02, SO=-3.371e-01) | E_p: mean=34.9661 min=31.2119 max=39.1753 | E_π̂=33.7154  ΔÊ=1.25072  Var_π̂=2.23232  ζ̂=0.175994 | ESS=67.8 (52.9%)  S≈205.129 -> 205.159 | F(λ;T): -352.15 -> F(λ;T_next): -346.543 | grad_norm≈4.25
[0006] T=1.8587 -> 1.8375  ΔT=-2.122e-02  (FO=-2.122e-02, SO=-2.766e-01) | E_p: mean=34.965 min=30.7428 max=39.3092 | E_π̂=33.3367  ΔÊ=1.62823  Var_π̂=3.11987  ζ̂=0.261391 | ESS=51.7 (40.4%)  S≈205.152 -> 205.148 | F(λ;T): -346.353 -> F(λ;T_next): -342.533 | grad_norm≈3.88
[0007] T=1.8375 -> 1.8176  ΔT=-1.988e-02  (FO=-1.988e-02, SO=-2.754e-01) | E_p: mean=35.0293 min=30.3271 max=39.1653 | E_π̂=33.3312  ΔÊ=1.69815  Var_π̂=3.00546  ζ̂=0.263638 | ESS=54.7 (42.8%)  S≈205.121 -> 205.099 | F(λ;T): -341.879 -> F(λ;T_next): -338.098 | grad_norm≈3.49
[0008] T=1.8176 -> 1.8007  ΔT=-1.692e-02  (FO=-1.692e-02, SO=-2.221e-01) | E_p: mean=34.7104 min=28.7001 max=40.2749 | E_π̂=32.7577  ΔÊ=1.95271  Var_π̂=4.42329  ζ̂=0.405268 | ESS=42.3 (33.0%)  S≈205.087 -> 205.114 | F(λ;T): -338.058 -> F(λ;T_next): -334.771 | grad_norm≈3.54
[0009] T=1.8007 -> 1.7801  ΔT=-2.063e-02  (FO=-2.063e-02, SO=-2.800e-01) | E_p: mean=34.6578 min=30.6177 max=38.5728 | E_π̂=33.0863  ΔÊ=1.57154  Var_π̂=2.68188  ζ̂=0.255084 | ESS=56.4 (44.1%)  S≈205.143 -> 205.164 | F(λ;T): -334.741 -> F(λ;T_next): -330.258 | grad_norm≈3.47
[0010] T=1.7801 -> 1.7604  ΔT=-1.964e-02  (FO=-1.964e-02, SO=-3.197e-01) | E_p: mean=34.7769 min=30.9978 max=40.0913 | E_π̂=33.1634  ΔÊ=1.61353  Var_π̂=1.96444  ζ̂=0.19566 | ESS=54.1 (42.2%)  S≈205.099 -> 205.127 | F(λ;T): -330.311 -> F(λ;T_next): -326.335 | grad_norm≈3.48
[0011] T=1.7604 -> 1.7457  ΔT=-1.472e-02  (FO=-1.472e-02, SO=-2.316e-01) | E_p: mean=34.6832 min=29.2716 max=39.412 | E_π̂=32.578  ΔÊ=2.10514  Var_π̂=3.58087  ζ̂=0.37284 | ESS=38.2 (29.8%)  S≈205.123 -> 205.171 | F(λ;T): -326.419 -> F(λ;T_next): -323.525 | grad_norm≈3.43
[0012] T=1.7457 -> 1.7301  ΔT=-1.562e-02  (FO=-1.562e-02, SO=-2.486e-01) | E_p: mean=34.6778 min=29.9168 max=38.9319 | E_π̂=32.7263  ΔÊ=1.95151  Var_π̂=3.00462  ζ̂=0.323528 | ESS=47.3 (37.0%)  S≈205.141 -> 205.125 | F(λ;T): -323.437 -> F(λ;T_next): -319.894 | grad_norm≈3.32
