ng10404
==== Sun 28 Sep 2025 05:50:40 AM EDT | job 50270418 | node ng10404 ====
model= instance= sa_anneal=
SLURM_JOB_GPUS=3
CUDA_VISIBLE_DEVICES=0
0, GPU-a1cb2874-5c0a-2cc9-5d8b-75d2699776e2, NVIDIA A100-SXM4-40GB
=== KL-controlled VCA (IG-2) start ===
[cfg] T0=2  T_min=0.001  delta_kl=1.000e-02  mode=fo+so  inner_steps=10  w_clip=1000000.0  B_est=128  B_train=128
[0014] T=1.7206 -> 1.7066  ΔT=-1.403e-02  (FO=-1.403e-02, SO=-2.271e-01) | E_p: mean=35.1109 min=29.9694 max=39.6953 | E_π̂=33.0006  ΔÊ=2.11039  Var_π̂=3.39775  ζ̂=0.38769 | ESS=35.0 (27.4%)  S≈205.14 -> 205.111 | F(λ;T): -317.85 -> F(λ;T_next): -315.35 | grad_norm≈2.66
[0015] T=1.7066 -> 1.6915  ΔT=-1.505e-02  (FO=-1.505e-02, SO=-2.196e-01) | E_p: mean=35.1061 min=30.0392 max=38.9905 | E_π̂=33.1706  ΔÊ=1.9355  Var_π̂=3.51872  ζ̂=0.414858 | ESS=37.3 (29.2%)  S≈205.103 -> 205.171 | F(λ;T): -314.914 -> F(λ;T_next): -312.102 | grad_norm≈3.64
[0016] T=1.6915 -> 1.6729  ΔT=-1.857e-02  (FO=-1.857e-02, SO=-2.540e-01) | E_p: mean=34.6955 min=30.3922 max=39.4953 | E_π̂=33.155  ΔÊ=1.54048  Var_π̂=2.53715  ζ̂=0.309916 | ESS=55.2 (43.1%)  S≈205.153 -> 205.131 | F(λ;T): -312.323 -> F(λ;T_next): -308.401 | grad_norm≈2.34
[0017] T=1.6729 -> 1.6624  ΔT=-1.057e-02  (FO=-1.057e-02, SO=-1.800e-01) | E_p: mean=34.7895 min=28.9042 max=39.535 | E_π̂=32.1428  ΔÊ=2.64665  Var_π̂=4.83625  ζ̂=0.61743 | ESS=24.7 (19.3%)  S≈205.172 -> 205.144 | F(λ;T): -308.451 -> F(λ;T_next): -306.314 | grad_norm≈2.21
[0018] T=1.6624 -> 1.6469  ΔT=-1.549e-02  (FO=-1.549e-02, SO=-2.324e-01) | E_p: mean=34.9287 min=30.179 max=38.9104 | E_π̂=33.1452  ΔÊ=1.78357  Var_π̂=2.8271  ζ̂=0.370199 | ESS=45.4 (35.5%)  S≈205.145 -> 205.164 | F(λ;T): -306.098 -> F(λ;T_next): -303.077 | grad_norm≈2.75
[0019] T=1.6469 -> 1.6303  ΔT=-1.656e-02  (FO=-1.656e-02, SO=-2.517e-01) | E_p: mean=34.8654 min=30.253 max=39.2962 | E_π̂=33.2279  ΔÊ=1.63754  Var_π̂=2.32275  ζ̂=0.315766 | ESS=60.2 (47.0%)  S≈205.15 -> 205.158 | F(λ;T): -302.99 -> F(λ;T_next): -299.781 | grad_norm≈2.35
[0020] T=1.6303 -> 1.6209  ΔT=-9.378e-03  (FO=-9.378e-03, SO=-1.512e-01) | E_p: mean=34.7606 min=28.5555 max=39.8211 | E_π̂=31.9264  ΔÊ=2.83419  Var_π̂=6.17851  ζ̂=0.874591 | ESS=15.2 (11.9%)  S≈205.115 -> 205.131 | F(λ;T): -299.64 -> F(λ;T_next): -297.748 | grad_norm≈2.51
[0021] T=1.6209 -> 1.605  ΔT=-1.594e-02  (FO=-1.594e-02, SO=-2.322e-01) | E_p: mean=34.9045 min=30.2628 max=39.2079 | E_π̂=33.2566  ΔÊ=1.64795  Var_π̂=2.56011  ζ̂=0.370853 | ESS=51.4 (40.1%)  S≈205.126 -> 205.171 | F(λ;T): -297.591 -> F(λ;T_next): -294.699 | grad_norm≈2.66
[0022] T=1.605 -> 1.5903  ΔT=-1.470e-02  (FO=-1.470e-02, SO=-2.428e-01) | E_p: mean=34.7963 min=30.9951 max=39.4902 | E_π̂=33.0433  ΔÊ=1.75294  Var_π̂=2.25099  ζ̂=0.339226 | ESS=53.3 (41.6%)  S≈205.108 -> 205.136 | F(λ;T): -294.399 -> F(λ;T_next): -291.541 | grad_norm≈2.37
[0023] T=1.5903 -> 1.5787  ΔT=-1.161e-02  (FO=-1.161e-02, SO=-2.007e-01) | E_p: mean=34.83 min=29.8872 max=39.1785 | E_π̂=32.6516  ΔÊ=2.17838  Var_π̂=3.1758  ζ̂=0.496532 | ESS=38.8 (30.3%)  S≈205.13 -> 205.038 | F(λ;T): -291.387 -> F(λ;T_next): -289.277 | grad_norm≈2.49
[0024] T=1.5787 -> 1.561  ΔT=-1.765e-02  (FO=-1.765e-02, SO=-2.422e-01) | E_p: mean=34.6394 min=30.8442 max=38.5375 | E_π̂=33.2272  ΔÊ=1.41214  Var_π̂=2.11701  ζ̂=0.340835 | ESS=64.0 (50.0%)  S≈205.117 -> 205.037 | F(λ;T): -289.176 -> F(λ;T_next): -285.8 | grad_norm≈2.7
[0025] T=1.561 -> 1.5444  ΔT=-1.659e-02  (FO=-1.659e-02, SO=-2.129e-01) | E_p: mean=34.4089 min=29.8388 max=38.3868 | E_π̂=32.94  ΔÊ=1.46884  Var_π̂=2.62014  ζ̂=0.441242 | ESS=58.7 (45.9%)  S≈205.039 -> 205.025 | F(λ;T): -285.664 -> F(λ;T_next): -282.407 | grad_norm≈3.17
[0026] T=1.5444 -> 1.5305  ΔT=-1.399e-02  (FO=-1.399e-02, SO=-1.732e-01) | E_p: mean=34.5625 min=29.3576 max=38.9999 | E_π̂=32.8571  ΔÊ=1.70547  Var_π̂=3.79233  ζ̂=0.666528 | ESS=41.1 (32.1%)  S≈205.048 -> 204.875 | F(λ;T): -282.123 -> F(λ;T_next): -279.324 | grad_norm≈2.96
[0027] T=1.5305 -> 1.5169  ΔT=-1.353e-02  (FO=-1.353e-02, SO=-1.588e-01) | E_p: mean=34.3432 min=28.8972 max=39.1473 | E_π̂=32.6118  ΔÊ=1.73139  Var_π̂=4.34919  ζ̂=0.792727 | ESS=30.5 (23.8%)  S≈204.868 -> 204.831 | F(λ;T): -279.199 -> F(λ;T_next): -276.505 | grad_norm≈2.52
[0028] T=1.5169 -> 1.5044  ΔT=-1.253e-02  (FO=-1.253e-02, SO=-1.791e-01) | E_p: mean=34.0611 min=29.4926 max=37.6703 | E_π̂=32.2241  ΔÊ=1.83704  Var_π̂=3.30144  ζ̂=0.62351 | ESS=39.8 (31.1%)  S≈204.898 -> 204.904 | F(λ;T): -276.754 -> F(λ;T_next): -274.385 | grad_norm≈2.73
[0029] T=1.5044 -> 1.4837  ΔT=-2.073e-02  (FO=-2.073e-02, SO=-2.123e-01) | E_p: mean=34.2946 min=30.807 max=38.4196 | E_π̂=33.2027  ΔÊ=1.09197  Var_π̂=2.27322  ζ̂=0.443798 | ESS=60.2 (47.0%)  S≈204.939 -> 204.96 | F(λ;T): -274.017 -> F(λ;T_next): -269.95 | grad_norm≈3.11
[0030] T=1.4837 -> 1.4639  ΔT=-1.979e-02  (FO=-1.979e-02, SO=-1.717e-01) | E_p: mean=33.7935 min=29.1556 max=37.0003 | E_π̂=32.6809  ΔÊ=1.11256  Var_π̂=3.28706  ζ̂=0.678346 | ESS=61.1 (47.8%)  S≈204.775 -> 204.83 | F(λ;T): -270.027 -> F(λ;T_next): -265.904 | grad_norm≈3.11
[0031] T=1.4639 -> 1.4498  ΔT=-1.414e-02  (FO=-1.414e-02, SO=-1.882e-01) | E_p: mean=33.9006 min=29.1657 max=38.4982 | E_π̂=32.385  ΔÊ=1.51555  Var_π̂=2.59345  ζ̂=0.564734 | ESS=50.4 (39.4%)  S≈204.821 -> 204.875 | F(λ;T): -265.935 -> F(λ;T_next): -263.01 | grad_norm≈3.34
[0032] T=1.4498 -> 1.4366  ΔT=-1.320e-02  (FO=-1.320e-02, SO=-1.447e-01) | E_p: mean=34.0446 min=27.0323 max=39.9326 | E_π̂=32.4519  ΔÊ=1.5927  Var_π̂=4.21944  ζ̂=0.955173 | ESS=53.1 (41.5%)  S≈204.899 -> 204.891 | F(λ;T): -263.008 -> F(λ;T_next): -260.278 | grad_norm≈2.79
[0033] T=1.4366 -> 1.4227  ΔT=-1.385e-02  (FO=-1.385e-02, SO=-1.713e-01) | E_p: mean=33.8765 min=29.4652 max=37.7246 | E_π̂=32.3869  ΔÊ=1.4896  Var_π̂=2.90134  ζ̂=0.681255 | ESS=40.6 (31.7%)  S≈204.876 -> 204.909 | F(λ;T): -260.439 -> F(λ;T_next): -257.087 | grad_norm≈2.95
[0034] T=1.4227 -> 1.4121  ΔT=-1.059e-02  (FO=-1.059e-02, SO=-1.609e-01) | E_p: mean=34.2386 min=29.0795 max=38.6627 | E_π̂=32.3272  ΔÊ=1.91136  Var_π̂=3.16357  ζ̂=0.772189 | ESS=33.6 (26.2%)  S≈205.026 -> 204.931 | F(λ;T): -257.452 -> F(λ;T_next): -255.349 | grad_norm≈2.66
[0035] T=1.4121 -> 1.3986  ΔT=-1.353e-02  (FO=-1.353e-02, SO=-1.567e-01) | E_p: mean=33.8609 min=29.5408 max=38.6859 | E_π̂=32.3873  ΔÊ=1.47361  Var_π̂=3.23665  ζ̂=0.813994 | ESS=54.2 (42.3%)  S≈204.886 -> 204.839 | F(λ;T): -255.46 -> F(λ;T_next): -252.584 | grad_norm≈2.18
[0036] T=1.3986 -> 1.3782  ΔT=-2.042e-02  (FO=-2.042e-02, SO=-1.997e-01) | E_p: mean=33.7867 min=30.5284 max=37.9636 | E_π̂=32.8287  ΔÊ=0.958027  Var_π̂=1.91939  ζ̂=0.501666 | ESS=67.4 (52.6%)  S≈204.81 -> 204.858 | F(λ;T): -252.656 -> F(λ;T_next): -248.207 | grad_norm≈2.64
[0037] T=1.3782 -> 1.3638  ΔT=-1.433e-02  (FO=-1.433e-02, SO=-1.725e-01) | E_p: mean=33.9163 min=29.9048 max=38.3501 | E_π̂=32.5911  ΔÊ=1.32515  Var_π̂=2.42607  ζ̂=0.672516 | ESS=54.6 (42.6%)  S≈204.811 -> 204.731 | F(λ;T): -248.346 -> F(λ;T_next): -245.496 | grad_norm≈3.41
[0038] T=1.3638 -> 1.3492  ΔT=-1.463e-02  (FO=-1.463e-02, SO=-1.343e-01) | E_p: mean=33.69 min=28.445 max=38.3818 | E_π̂=32.4185  ΔÊ=1.27152  Var_π̂=3.83768  ζ̂=1.10925 | ESS=58.4 (45.6%)  S≈204.589 -> 204.884 | F(λ;T): -245.334 -> F(λ;T_next): -242.503 | grad_norm≈3.02
[0039] T=1.3492 -> 1.3347  ΔT=-1.445e-02  (FO=-1.445e-02, SO=-1.559e-01) | E_p: mean=33.8108 min=29.7122 max=38.1338 | E_π̂=32.5512  ΔÊ=1.25956  Var_π̂=2.72608  ζ̂=0.822682 | ESS=49.4 (38.6%)  S≈204.734 -> 204.692 | F(λ;T): -242.416 -> F(λ;T_next): -239.419 | grad_norm≈2.55
